"code","buy","overweight","hold","underweight","sell","high","median","low","avearge","current","sys_load_time"
"PET","0","0","0","0","0"," "," "," "," ","$0.31","2020-08-24 16:47:00.867883+10"
"PGH","2","2","3","0","0","$2.95","$2.70","$2.50","$2.71","$2.44","2020-08-24 16:47:01.347883+10"
"PLS","1","0","1","0","3","$0.40","$0.30","$0.23","$0.30","$0.36","2020-08-24 16:47:02.360793+10"
"PME","4","0","3","0","0","$30.43","$28.00","$23.05","$27.30","$27.27","2020-08-24 16:47:02.726787+10"
"PNV","1","2","2","0","0","$2.90","$2.83","$2.60","$2.79","$2.35","2020-08-24 16:47:03.975461+10"
"NSR","","","","","","","","","","","2020-08-24 16:47:04.047435+10"
"NWL","","","","","","","","","","","2020-08-24 16:47:05.494645+10"
"PPT","3","2","5","0","0","$46.50","$35.50","$31.00","$37.02","$31.21","2020-08-24 16:47:05.583107+10"
"PRN","5","1","1","0","0","$2.00","$1.90","$1.35","$1.81","$1.20","2020-08-24 16:47:05.7238+10"
"PRU","3","0","1","0","2","$1.95","$1.60","$1.25","$1.60","$1.46","2020-08-24 16:47:06.963401+10"
"NWH","","","","","","","","","","","2020-08-24 16:47:07.06063+10"
"QBE","9","0","1","0","2","$9.14","$8.61","$5.74","$8.18","$10.60","2020-08-24 16:47:07.536907+10"
"QAN","7","0","3","0","1","$4.90","$4.40","$3.00","$4.23","$3.73","2020-08-24 16:47:07.651177+10"
"QUB","5","1","4","0","1","$3.50","$3.10","$2.45","$3.10","$2.92","2020-08-24 16:47:08.506399+10"
"REA","3","1","7","1","1","$128.00","$108.00","$90.80","$110.29","$118.13","2020-08-24 16:47:09.099179+10"
"RFF","3","1","0","0","0","$2.42","$2.30","$2.19","$2.30","$2.20","2020-08-24 16:47:09.976675+10"
"RHC","6","0","3","1","2","$78.25","$71.60","$56.00","$69.18","$66.08","2020-08-24 16:47:11.464161+10"
"RIO","5","0","0","1","0","$81.15","$69.00","$63.45","$71.20","$100.90","2020-08-24 16:47:12.476993+10"
"RMS","3","0","1","0","0","$2.46","$2.36","$2.25","$2.35","$2.02","2020-08-24 16:47:15.249498+10"
"RRL","2","0","7","1","4","$6.50","$5.60","$4.50","$5.48","$5.55","2020-08-24 16:47:16.665801+10"
"RSG","7","1","1","0","0","$1.57","$1.20","$1.07","$1.22","$1.14","2020-08-24 16:47:18.064532+10"
"OML","","","","","","","","","","","2020-08-24 16:47:18.68521+10"
"RWC","5","2","2","0","1","$3.65","$3.27","$2.65","$3.26","$3.38","2020-08-24 16:47:19.451443+10"
"S32","14","1","3","0","2","$2.16","$1.86","$1.36","$1.85","$2.18","2020-08-24 16:47:20.173158+10"
"SAR","4","1","6","0","2","$6.75","$6.00","$4.70","$5.87","$5.40","2020-08-24 16:47:20.901628+10"
"SBM","5","0","2","0","1","$4.30","$3.75","$3.00","$3.79","$3.41","2020-08-24 16:47:21.311092+10"
"SCG","3","0","4","1","1","$3.57","$2.25","$2.00","$2.44","$2.02","2020-08-24 16:47:22.610676+10"
"SCP","1","0","7","0","2","$2.70","$2.30","$1.72","$2.26","$2.08","2020-08-24 16:47:22.762566+10"
"SDA","0","0","1","0","0","$0.78","$0.78","$0.78","$0.78","$0.79","2020-08-24 16:47:24.080212+10"
"SEK","4","0","8","1","0","$31.00","$20.18","$17.20","$21.06","$20.36","2020-08-24 16:47:26.1046+10"
"PMV","","","","","","","","","","","2020-08-24 16:47:26.546086+10"
"PDL","","","","","","","","","","","2020-08-24 16:47:26.993048+10"
"SFR","8","1","5","0","1","$6.80","$5.70","$4.60","$5.72","$4.93","2020-08-24 16:47:27.291799+10"
"PNI","","","","","","","","","","","2020-08-24 16:47:28.272231+10"
"SGM","3","2","4","1","1","$10.20","$9.24","$6.00","$8.80","$8.15","2020-08-24 16:47:28.510551+10"
"SGP","5","0","3","1","0","$4.38","$3.56","$3.16","$3.72","$3.63","2020-08-24 16:47:28.793783+10"
"SGR","11","1","1","0","0","$4.65","$3.71","$3.25","$3.76","$3.11","2020-08-24 16:47:29.266894+10"
"SHL","5","0","6","1","2","$40.00","$35.10","$27.99","$34.56","$34.48","2020-08-24 16:47:29.812352+10"
"SHV","2","1","2","0","0","$9.80","$6.60","$6.10","$7.33","$5.62","2020-08-24 16:47:29.952559+10"
"PTM","","","","","","","","","","","2020-08-24 16:47:30.889223+10"
"SKC","7","0","2","0","1","$3.50","$3.10","$2.40","$3.10","$2.30","2020-08-24 16:47:31.470915+10"
"REG","","","","","","","","","","","2020-08-24 16:47:31.760213+10"
"SKI","2","1","3","0","1","$2.56","$2.15","$2.03","$2.24","$2.21","2020-08-24 16:47:31.834612+10"
"SLR","4","1","0","0","0","$2.70","$2.50","$2.47","$2.55","$2.30","2020-08-24 16:47:33.153281+10"
"RDC","","","","","","","","","","","2020-08-24 16:47:33.301469+10"
"SOL","0","0","1","0","0","$20.04","$20.04","$20.04","$20.04","$20.67","2020-08-24 16:47:34.600049+10"
"SPK","1","0","0","0","1","$4.80","$4.40","$4.00","$4.40","$4.49","2020-08-24 16:47:34.730718+10"
"SPL","1","0","0","0","0","$1.75","$1.75","$1.75","$1.75","$1.05","2020-08-24 16:47:35.907308+10"
"STO","10","2","4","0","0","$5.37","$4.51","$3.72","$4.58","$5.70","2020-08-24 16:47:37.417765+10"
"SUL","0","0","0","0","0"," "," "," "," ","$10.68","2020-08-24 16:47:38.919814+10"
"SUN","5","1","4","1","1","$11.82","$9.95","$7.50","$9.90","$9.47","2020-08-24 16:47:40.490049+10"
"SVW","5","1","1","0","0","$20.50","$19.18","$16.20","$19.13","$18.90","2020-08-24 16:47:41.906118+10"
"SWM","2","1","3","0","0","$0.45","$0.14","$0.10","$0.20","$0.16","2020-08-24 16:47:43.576644+10"
"SGF","","","","","","","","","","","2020-08-24 16:47:51.13238+10"
"SXY","8","0","1","0","0","$0.60","$0.42","$0.30","$0.41","$0.28","2020-08-24 16:47:51.692252+10"
"SYD","7","1","4","1","1","$6.40","$5.91","$4.28","$5.70","$5.44","2020-08-24 16:47:53.338756+10"
"SDF","","","","","","","","","","","2020-08-24 16:47:54.192414+10"
"SYR","1","0","2","0","1","$0.50","$0.29","$0.12","$0.30","$0.40","2020-08-24 16:47:54.683939+10"
"TAH","3","1","6","1","2","$4.70","$3.78","$3.10","$3.89","$3.63","2020-08-24 16:47:55.939316+10"
"TCL","4","0","7","1","2","$16.16","$14.03","$12.60","$14.18","$13.70","2020-08-24 16:47:56.148906+10"
"SLC","","","","","","","","","","","2020-08-24 16:47:56.987583+10"
"TGR","3","0","0","0","0","$4.85","$4.75","$4.30","$4.63","$3.73","2020-08-24 16:47:57.484385+10"
"TLS","6","1","6","1","1","$4.20","$3.33","$3.00","$3.47","$3.06","2020-08-24 16:47:57.752001+10"
"SIG","","","","","","","","","","","2020-08-24 16:47:57.904333+10"
"SIQ","","","","","","","","","","","2020-08-24 16:47:58.702277+10"
"TWE","5","0","8","0","1","$12.30","$9.05","$7.24","$9.39","$9.75","2020-08-24 16:47:59.20752+10"
"SM1","","","","","","","","","","","2020-08-24 16:47:59.472161+10"
"SSM","","","","","","","","","","","2020-08-24 16:47:59.743907+10"
"VCX","2","0","5","1","2","$1.74","$1.39","$1.05","$1.40","$1.35","2020-08-24 16:48:00.150872+10"
"VOC","5","0","4","3","0","$4.20","$3.40","$3.05","$3.49","$3.51","2020-08-24 16:48:00.876114+10"
"VRL","0","0","2","0","0","$2.32","$2.32","$2.32","$2.32","$2.11","2020-08-24 16:48:01.110903+10"
"VRT","0","0","0","0","0"," "," "," "," ","$3.34","2020-08-24 16:48:01.21644+10"
"WAF","2","1","1","0","0","$1.95","$1.20","$1.00","$1.31","$0.98","2020-08-24 16:48:02.431087+10"
"WBC","0","1","0","0","0","$17.37","$13.21","$8.94","$13.70","$17.11","2020-08-24 16:48:02.507664+10"
"WES","0","0","10","1","3","$50.00","$46.50","$38.71","$45.59","$49.44","2020-08-24 16:48:02.899722+10"
"WEB","2","0","4","0","2","$4.95","$3.70","$2.00","$3.63","$3.57","2020-08-24 16:48:03.004948+10"
"WHC","10","1","2","0","2","$4.00","$2.28","$1.30","$2.21","$1.25","2020-08-24 16:48:03.787898+10"
"WGX","3","0","0","0","0","$3.25","$2.90","$2.80","$2.98","$2.14","2020-08-24 16:48:03.843064+10"
"WOR","6","3","2","0","1","$13.65","$11.45","$8.40","$11.40","$8.88","2020-08-24 16:48:04.517054+10"
"WOW","5","1","5","0","0","$323.66","$292.99","$244.07","$288.07","$39.79","2020-08-24 16:48:04.931758+10"
"WPL","9","2","5","0","0","$24.17","$17.22","$14.35","$17.41","$19.91","2020-08-24 16:48:05.055184+10"
"WSA","6","0","6","1","0","$3.25","$2.70","$2.30","$2.72","$2.43","2020-08-24 16:48:05.985103+10"
